,date,year,month,open,high,low,close,volume,id
1384,2008-07-22,2008,7,149,506.5,146.53,162.02,67128289,1406
1383,2008-07-23,2008,7,164.99,506.5,161.56,166.26,37920218,1405
1382,2008-07-24,2008,7,164.32,506.5,158.45,159.03,29986320,1404
1381,2008-07-25,2008,7,160.4,506.5,158.65,162.12,22625472,1403
1380,2008-07-28,2008,7,162.34,506.5,154.02,154.4,27891235,1402
1379,2008-07-29,2008,7,155.41,506.5,153.65,157.08,24437215,1401
1378,2008-07-30,2008,7,157.78,506.5,156.08,159.88,25902261,1400
1377,2008-07-31,2008,7,157.54,506.5,156.98,158.95,22768525,1399
1376,2008-08-01,2008,8,159.9,506.5,155.75,156.66,19457796,1398
1375,2008-08-04,2008,8,156.6,506.5,152.91,153.23,21167696,1397
1374,2008-08-05,2008,8,155.42,506.5,154.82,160.64,24594669,1396
1373,2008-08-06,2008,8,159.97,506.5,158,164.19,28266458,1395
1372,2008-08-07,2008,8,162.71,506.5,161.5,163.57,24017815,1394
1371,2008-08-08,2008,8,163.86,506.5,163.75,169.55,25500650,1393
1370,2008-08-11,2008,8,170.07,506.5,169.67,173.56,31832206,1392
1369,2008-08-12,2008,8,173.52,506.5,173.51,176.73,29872166,1391
1368,2008-08-13,2008,8,177.98,506.5,175.9,179.3,30100786,1390
1367,2008-08-14,2008,8,178.33,506.5,177.84,179.32,25403601,1389
1366,2008-08-15,2008,8,179.04,506.5,175.05,175.74,25296349,1388
1365,2008-08-18,2008,8,175.57,506.5,173.82,175.39,19714732,1387
1364,2008-08-19,2008,8,174.54,506.5,171.81,173.53,22007236,1386
1363,2008-08-20,2008,8,174.77,506.5,173.61,175.84,18111738,1385
1362,2008-08-21,2008,8,174.47,506.5,171.89,174.29,19286365,1384
1361,2008-08-22,2008,8,175.82,506.5,175.57,176.79,15704473,1383
1360,2008-08-25,2008,8,176.15,506.5,171.66,172.55,17303450,1382
1359,2008-08-26,2008,8,172.76,506.5,172.61,173.64,15920648,1381
1358,2008-08-27,2008,8,173.31,506.5,172.19,174.67,17063546,1380
1357,2008-08-28,2008,8,175.28,506.5,172.75,173.74,15406578,1379
1356,2008-08-29,2008,8,172.96,506.5,169.04,169.53,21404481,1378
1355,2008-09-02,2008,9,172.4,506.5,165,166.19,27908193,1377
1354,2008-09-03,2008,9,166.84,506.5,164,166.96,26248117,1376
1353,2008-09-04,2008,9,165.86,506.5,160.81,161.22,26578982,1375
1352,2008-09-05,2008,9,158.59,506.5,157.65,160.18,28102959,1374
